CHLOCCT,count,percent
UNITED ARAB EMIRATES,132,14.73
FRANCE,86,9.6
UNITED STATES,69,7.7
ITALY,65,7.25
SPAIN,64,7.14
GERMANY,57,6.36
UNITED KINGDOM,41,4.58
GREECE,39,4.35
ISRAEL,33,3.68
GEORGIA,32,3.57
POLAND,28,3.12
ROMANIA,26,2.9
NETHERLANDS,25,2.79
HUNGARY,22,2.46
CYPRUS,22,2.46
ETHIOPIA,20,2.23
BULGARIA,18,2.01
THAILAND,17,1.9
SWITZERLAND,16,1.79
AUSTRIA,13,1.45
CZECH REPUBLIC,11,1.23
AZERBAIJAN,9,1.0
RUSSIAN FEDERATION,8,0.89
MOLDOVA,7,0.78
PORTUGAL,5,0.56
BELGIUM,4,0.45
LITHUANIA,3,0.33
CHINA,3,0.33
UZBEKISTAN,3,0.33
FINLAND,2,0.22
DENMARK,2,0.22
JAPAN,2,0.22
ARMENIA,2,0.22
SEYCHELLES,2,0.22
CANADA,2,0.22
ALBANIA,1,0.11
TANZANIA,1,0.11
SERBIA,1,0.11
MONTENEGRO,1,0.11
INDIA,1,0.11
VIETNAM,1,0.11
